bill_id,bill_type,subjects_top_term,enacted_as
hr289-115,hr,Public lands and natural resources,0
hr5708-115,hr,Public lands and natural resources,0
hr887-115,hr,Immigration,0
hr20-115,hr,Government operations and politics,0
hr5962-115,hr,Education,0
hr2149-115,hr,Taxation,0
hr2975-115,hr,Transportation and public works,0
hr3606-115,hr,Finance and financial sector,0
hr6374-115,hr,Government operations and politics,0
hr4423-115,hr,Water resources development,0
hr1151-115,hr,Health,0
hr4611-115,hr,Government operations and politics,0
hr242-115,hr,Health,0
hr1363-115,hr,Government operations and politics,0
hr3434-115,hr,Taxation,0
hr6146-115,hr,Public lands and natural resources,0
hr7094-115,hr,Commerce,0
hr4275-115,hr,Crime and law enforcement,0
hr626-115,hr,Health,0
hr1707-115,hr,"Civil rights and liberties, minority issues",0
hr3050-115,hr,Energy,0
hr2182-115,hr,Public lands and natural resources,0
hr6522-115,hr,Public lands and natural resources,0
hr3262-115,hr,Armed forces and national security,0
hr6710-115,hr,Government operations and politics,0
hr5195-115,hr,Government operations and politics,0
hr414-115,hr,Education,0
hr4047-115,hr,Government operations and politics,0
hr1535-115,hr,Public lands and natural resources,0
hr5353-115,hr,Health,0
hr4281-115,hr,Finance and financial sector,0
hr2176-115,hr,International affairs,0
hr3898-115,hr,Finance and financial sector,0
hr3296-115,hr,Taxation,0
hr2344-115,hr,Public lands and natural resources,0
hr5161-115,hr,Health,0
hr2720-115,hr,Government operations and politics,0
hr6380-115,hr,Finance and financial sector,0
hr7252-115,hr,,0
hr5505-115,hr,Crime and law enforcement,0
hr1999-115,hr,Economics and public finance,0
hr5737-115,hr,Government operations and politics,1
hr1397-115,hr,Public lands and natural resources,1
hr2512-115,hr,Families,0
hr7060-115,hr,International affairs,0
hr2972-115,hr,Health,0
hr5159-115,hr,Taxation,0
hr5965-115,hr,Health,0
hr880-115,hr,Health,0
hr27-115,hr,Armed forces and national security,0
hr2718-115,hr,Education,0
hr7058-115,hr,Taxation,0
hr1955-115,hr,Health,0
hr874-115,hr,Armed forces and national security,0
hr1169-115,hr,Native Americans,0
hr6942-115,hr,Crime and law enforcement,0
hr4629-115,hr,Transportation and public works,0
hr3068-115,hr,Taxation,0
hr3854-115,hr,Finance and financial sector,0
hr2986-115,hr,Health,0
hr5991-115,hr,Immigration,0
hr4843-115,hr,Armed forces and national security,0
hr2388-115,hr,Immigration,0
hr6728-115,hr,Native Americans,0
hr5730-115,hr,Transportation and public works,0
hr1390-115,hr,Armed forces and national security,0
hr2515-115,hr,Labor and employment,0
hr6989-115,hr,Social welfare,0
hr7067-115,hr,Government operations and politics,0
hr2727-115,hr,Native Americans,0
hr6387-115,hr,Health,0
hr7255-115,hr,International affairs,0
hr5502-115,hr,Finance and financial sector,0
hr3291-115,hr,Health,0
hr2343-115,hr,Taxation,0
hr5166-115,hr,Finance and financial sector,0
hr4888-115,hr,Government operations and politics,0
hr5354-115,hr,"Science, technology, communications",0
hr4286-115,hr,Armed forces and national security,0
hr2171-115,hr,Taxation,0
hr3265-115,hr,Immigration,0
hr6717-115,hr,Health,0
hr5192-115,hr,Commerce,0
hr4040-115,hr,Transportation and public works,0
hr413-115,hr,Education,0
hr1532-115,hr,Native Americans,0
hr621-115,hr,Public lands and natural resources,0
hr4272-115,hr,Education,0
hr1700-115,hr,Commerce,0
hr3057-115,hr,Congress,0
hr2185-115,hr,International affairs,0
hr6525-115,hr,Education,0
hr245-115,hr,Armed forces and national security,0
hr4616-115,hr,Health,0
hr1364-115,hr,Government operations and politics,0
hr3433-115,hr,Agriculture and food,0
hr6141-115,hr,Armed forces and national security,0
hr7093-115,hr,Crime and law enforcement,0
hr3601-115,hr,Finance and financial sector,0
hr6373-115,hr,Social welfare,0
hr4424-115,hr,Taxation,0
hr1156-115,hr,Health,0
hr5376-115,hr,Taxation,0
hr2153-115,hr,Congress,0
hr3081-115,hr,Social welfare,0
hr2361-115,hr,Energy,0
hr4096-115,hr,Environmental protection,0
hr5144-115,hr,Commerce,0
hr5978-115,hr,Agriculture and food,0
hr2705-115,hr,Environmental protection,0
hr7277-115,hr,International affairs,0
hr5520-115,hr,Armed forces and national security,0
hr1180-115,hr,Labor and employment,0
hr5712-115,hr,Health,0
hr293-115,hr,Armed forces and national security,0
hr2537-115,hr,Government operations and politics,0
hr7045-115,hr,Transportation and public works,0
hr6197-115,hr,International affairs,0
hr3623-115,hr,Government operations and politics,0
hr7283-115,hr,,0
hr6351-115,hr,Energy,0
hr1948-115,hr,Finance and financial sector,0
hr4406-115,hr,Government operations and politics,1
hr1174-115,hr,Government operations and politics,0
hr869-115,hr,"Arts, culture, religion",0
hr4634-115,hr,,0
hr267-115,hr,Public lands and natural resources,1
hr1346-115,hr,Transportation and public works,0
hr3411-115,hr,Transportation and public works,0
hr6163-115,hr,Finance and financial sector,0
hr4250-115,hr,Government operations and politics,0
hr603-115,hr,Crime and law enforcement,0
hr5382-115,hr,Taxation,0
hr1722-115,hr,Labor and employment,0
hr3075-115,hr,Armed forces and national security,0
hr6507-115,hr,Public lands and natural resources,0
hr3849-115,hr,Foreign trade and international finance,0
hr2395-115,hr,Commerce,0
hr3247-115,hr,Public lands and natural resources,0
hr6735-115,hr,Emergency management,0
hr431-115,hr,Energy,0
hr4062-115,hr,Public lands and natural resources,0
hr1510-115,hr,Education,0
hr6994-115,hr,Armed forces and national security,0
hr2508-115,hr,Immigration,0
hr1983-115,hr,Crime and law enforcement,0
hr7248-115,hr,Health,0
hr4895-115,hr,Public lands and natural resources,0
hr5947-115,hr,International affairs,0
hr2950-115,hr,Public lands and natural resources,0
hr3882-115,hr,Transportation and public works,0
hr5349-115,hr,Government operations and politics,1
hr4861-115,hr,Finance and financial sector,0
hr3278-115,hr,Health,0
hr2198-115,hr,Armed forces and national security,0
hr6538-115,hr,Energy,0
hr3876-115,hr,Government operations and politics,0
hr6960-115,hr,Education,0
hr258-115,hr,International affairs,0
hr1379-115,hr,Armed forces and national security,0
hr1977-115,hr,Armed forces and national security,0
hr4439-115,hr,Finance and financial sector,0
hr856-115,hr,Armed forces and national security,0
hr2392-115,hr,Health,0
hr3240-115,hr,Energy,0
hr6732-115,hr,Government operations and politics,0
hr4065-115,hr,Crime and law enforcement,0
hr436-115,hr,International affairs,0
hr4859-115,hr,Education,0
hr1517-115,hr,Crime and law enforcement,0
hr604-115,hr,Immigration,0
hr4257-115,hr,Public lands and natural resources,0
hr5385-115,hr,Health,1
hr1725-115,hr,Armed forces and national security,1
hr3072-115,hr,Finance and financial sector,0
hr6500-115,hr,Agriculture and food,0
hr260-115,hr,Government operations and politics,0
hr4633-115,hr,Education,0
hr1341-115,hr,Government operations and politics,0
hr3416-115,hr,Transportation and public works,0
hr6958-115,hr,Health,0
hr6164-115,hr,"Arts, culture, religion",0
hr3624-115,hr,Public lands and natural resources,0
hr7284-115,hr,Environmental protection,0
hr6356-115,hr,Environmental protection,0
hr4401-115,hr,Social welfare,0
hr1173-115,hr,Health,0
hr5715-115,hr,Health,0
hr294-115,hr,Government operations and politics,1
hr2530-115,hr,Taxation,0
hr7042-115,hr,Environmental protection,0
hr6190-115,hr,Immigration,0
hr2702-115,hr,Commerce,0
hr7270-115,hr,"Science, technology, communications",0
hr5527-115,hr,Congress,0
hr1187-115,hr,Health,0
hr2366-115,hr,Finance and financial sector,0
hr4091-115,hr,Public lands and natural resources,0
hr5143-115,hr,Congress,0
hr5371-115,hr,Education,0
hr2154-115,hr,Agriculture and food,1
hr3086-115,hr,"Science, technology, communications",0
hr2968-115,hr,Education,0
hr1970-115,hr,Immigration,0
hr851-115,hr,Housing and community development,0
hr6369-115,hr,Commerce,0
hr3429-115,hr,Immigration,0
hr6967-115,hr,Environmental protection,0
hr7089-115,hr,Finance and financial sector,0
hr3871-115,hr,Agriculture and food,0
hr4268-115,hr,Crime and law enforcement,0
hr409-115,hr,Health,0
hr5188-115,hr,Agriculture and food,0
hr4866-115,hr,Health,0
hr1528-115,hr,Native Americans,0
hr2957-115,hr,Health,0
hr3885-115,hr,Crime and law enforcement,0
hr4892-115,hr,Agriculture and food,0
hr5940-115,hr,Armed forces and national security,0
hr2359-115,hr,Finance and financial sector,0
hr1984-115,hr,Health,0
hr5518-115,hr,Health,0
hr6993-115,hr,Armed forces and national security,0
hr3420-115,hr,Taxation,0
hr6152-115,hr,Housing and community development,0
hr7080-115,hr,International affairs,0
hr256-115,hr,Crime and law enforcement,0
hr4605-115,hr,Energy,0
hr1377-115,hr,Labor and employment,0
hr4437-115,hr,Armed forces and national security,0
hr1979-115,hr,Crime and law enforcement,0
hr858-115,hr,Immigration,0
hr1145-115,hr,Taxation,0
hr3612-115,hr,International affairs,0
hr6360-115,hr,Environmental protection,0
hr5181-115,hr,Energy,0
hr4053-115,hr,Finance and financial sector,0
hr400-115,hr,Immigration,0
hr1521-115,hr,Finance and financial sector,0
hr3276-115,hr,Health,0
hr6704-115,hr,Energy,0
hr3044-115,hr,Health,0
hr2196-115,hr,Government operations and politics,0
hr3878-115,hr,Finance and financial sector,0
hr6536-115,hr,Immigration,0
hr632-115,hr,Armed forces and national security,0
hr4261-115,hr,Crime and law enforcement,0
hr1713-115,hr,Transportation and public works,0
hr5175-115,hr,Energy,0
hr5949-115,hr,Transportation and public works,0
hr3282-115,hr,Transportation and public works,0
hr2350-115,hr,Commerce,0
hr2162-115,hr,Economics and public finance,0
hr5347-115,hr,Public lands and natural resources,0
hr4295-115,hr,Immigration,0
hr2506-115,hr,Armed forces and national security,0
hr7074-115,hr,Public lands and natural resources,0
hr5723-115,hr,Health,0
hr1383-115,hr,International affairs,0
hr5511-115,hr,Health,0
hr2734-115,hr,Foreign trade and international finance,0
hr6394-115,hr,Agriculture and food,0
hr7246-115,hr,Water resources development,0
hr3847-115,hr,Native Americans,0
hr2995-115,hr,Energy,0
hr6509-115,hr,Housing and community development,0
hr3249-115,hr,Crime and law enforcement,1
hr5982-115,hr,Government operations and politics,0
hr4850-115,hr,Immigration,0
hr4408-115,hr,Crime and law enforcement,0
hr1946-115,hr,Health,0
hr867-115,hr,Social welfare,0
hr269-115,hr,Families,0
hr1348-115,hr,Health,0
hr6951-115,hr,Environmental protection,0
hr7279-115,hr,Environmental protection,0
hr893-115,hr,Government operations and politics,0
hr34-115,hr,Crime and law enforcement,0
hr2539-115,hr,Environmental protection,0
hr6199-115,hr,Taxation,0
hr5378-115,hr,Environmental protection,0
hr2961-115,hr,Education,0
hr4098-115,hr,"Science, technology, communications",0
hr5976-115,hr,Education,0
hr5516-115,hr,Taxation,0
hr2733-115,hr,Armed forces and national security,0
hr6393-115,hr,"Science, technology, communications",0
hr7241-115,hr,Government operations and politics,0
hr2501-115,hr,Health,0
hr7073-115,hr,Immigration,0
hr5724-115,hr,Health,0
hr1384-115,hr,Armed forces and national security,0
hr2165-115,hr,Transportation and public works,0
hr2959-115,hr,Health,0
hr5340-115,hr,Commerce,0
hr4292-115,hr,Finance and financial sector,0
hr5172-115,hr,Native Americans,0
hr3285-115,hr,Finance and financial sector,0
hr2357-115,hr,Finance and financial sector,0
hr3043-115,hr,Energy,0
hr2191-115,hr,Transportation and public works,0
hr6531-115,hr,Finance and financial sector,0
hr4266-115,hr,Public lands and natural resources,0
hr635-115,hr,Health,0
hr1714-115,hr,Commerce,0
hr5186-115,hr,Crime and law enforcement,0
hr407-115,hr,Taxation,0
hr4054-115,hr,Health,0
hr1526-115,hr,Transportation and public works,0
hr4868-115,hr,Public lands and natural resources,0
hr3271-115,hr,Health,0
hr6703-115,hr,Health,0
hr4430-115,hr,Government operations and politics,0
hr1142-115,hr,Armed forces and national security,0
hr3615-115,hr,Health,0
hr6367-115,hr,Commerce,0
hr6969-115,hr,Taxation,0
hr3427-115,hr,Government operations and politics,0
hr6155-115,hr,Finance and financial sector,0
hr7087-115,hr,Environmental protection,0
hr4602-115,hr,Education,0
hr251-115,hr,Commerce,0
hr1370-115,hr,Crime and law enforcement,1
hr2368-115,hr,Health,0
hr5971-115,hr,Crime and law enforcement,0
hr3088-115,hr,Labor and employment,0
hr2966-115,hr,International affairs,0
hr5529-115,hr,Public lands and natural resources,0
hr894-115,hr,Taxation,0
hr33-115,hr,Government operations and politics,0
hr1189-115,hr,Agriculture and food,0
hr6956-115,hr,Congress,0
hr3418-115,hr,Families,0
hr6358-115,hr,Crime and law enforcement,0
hr1941-115,hr,Immigration,0
hr860-115,hr,Health,0
hr438-115,hr,Environmental protection,0
hr5985-115,hr,Health,0
hr1519-115,hr,Health,0
hr4857-115,hr,Taxation,0
hr4259-115,hr,Health,0
hr3840-115,hr,Education,0
hr2992-115,hr,Education,0
hr2932-115,hr,Foreign trade and international finance,0
hr5925-115,hr,Crime and law enforcement,0
hr5119-115,hr,Education,0
hr498-115,hr,International affairs,0
hr67-115,hr,Social welfare,0
hr2758-115,hr,Armed forces and national security,0
hr7018-115,hr,Public lands and natural resources,0
hr834-115,hr,Armed forces and national security,0
hr93-115,hr,Armed forces and national security,0
hr1129-115,hr,Immigration,0
hr1915-115,hr,Commerce,0
hr5589-115,hr,International affairs,0
hr6902-115,hr,Crime and law enforcement,0
hr4669-115,hr,Crime and law enforcement,0
hr3814-115,hr,Transportation and public works,0
hr3028-115,hr,Armed forces and national security,0
hr4803-115,hr,Taxation,0
hr6768-115,hr,Environmental protection,0
hr5770-115,hr,Health,0
hr7027-115,hr,Crime and law enforcement,0
hr2555-115,hr,Armed forces and national security,0
hr3487-115,hr,Law,0
hr7215-115,hr,Government operations and politics,0
hr2767-115,hr,Commerce,0
hr58-115,hr,Emergency management,0
hr4490-115,hr,Environmental protection,0
hr5542-115,hr,Transportation and public works,0
hr2303-115,hr,Education,0
hr1586-115,hr,Health,0
hr5126-115,hr,International affairs,0
hr5314-115,hr,Armed forces and national security,0
hr695-115,hr,Economics and public finance,0
hr6591-115,hr,Government operations and politics,0
hr2131-115,hr,Government operations and politics,0
hr6757-115,hr,Taxation,0
hr3225-115,hr,Native Americans,0
hr1572-115,hr,Energy,0
hr4000-115,hr,Taxation,0
hr453-115,hr,Environmental protection,0
hr1740-115,hr,Emergency management,0
hr661-115,hr,Health,0
hr4232-115,hr,"Science, technology, communications",0
hr6565-115,hr,Commerce,0
hr3017-115,hr,Environmental protection,0
hr1324-115,hr,"Science, technology, communications",0
hr205-115,hr,Agriculture and food,0
hr4656-115,hr,Environmental protection,0
hr5784-115,hr,Government operations and politics,1
hr6101-115,hr,Armed forces and national security,0
hr3473-115,hr,Health,0
hr6333-115,hr,Taxation,0
hr2793-115,hr,Finance and financial sector,0
hr3641-115,hr,Taxation,0
hr1116-115,hr,Finance and financial sector,0
hr4464-115,hr,Finance and financial sector,0
hr4804-115,hr,Government operations and politics,0
hr4038-115,hr,Government operations and politics,0
hr3813-115,hr,Transportation and public works,0
hr1778-115,hr,Public lands and natural resources,0
hr659-115,hr,Commerce,0
hr6139-115,hr,Finance and financial sector,0
hr6905-115,hr,Transportation and public works,0
hr2599-115,hr,Health,0
hr833-115,hr,Water resources development,0
hr94-115,hr,Armed forces and national security,0
hr1912-115,hr,Labor and employment,0
hr3679-115,hr,Taxation,0
hr5748-115,hr,Water resources development,0
hr60-115,hr,Immigration,0
hr5922-115,hr,Armed forces and national security,0
hr2935-115,hr,International affairs,0
hr2109-115,hr,Emergency management,0
hr6334-115,hr,Education,0
hr2794-115,hr,,0
hr3646-115,hr,Agriculture and food,0
hr1111-115,hr,Government operations and politics,0
hr4463-115,hr,Government operations and politics,1
hr1323-115,hr,Health,0
hr4651-115,hr,Housing and community development,0
hr202-115,hr,Housing and community development,0
hr5783-115,hr,Finance and financial sector,0
hr6106-115,hr,Energy,0
hr3474-115,hr,Immigration,0
hr1747-115,hr,Environmental protection,0
hr4235-115,hr,Finance and financial sector,0
hr666-115,hr,Emergency management,0
hr6562-115,hr,Health,0
hr3010-115,hr,"Science, technology, communications",0
hr6750-115,hr,Public lands and natural resources,0
hr3222-115,hr,"Civil rights and liberties, minority issues",0
hr1575-115,hr,Taxation,0
hr454-115,hr,Immigration,0
hr4007-115,hr,Foreign trade and international finance,0
hr5313-115,hr,Economics and public finance,0
hr692-115,hr,Crime and law enforcement,0
hr6596-115,hr,Public lands and natural resources,0
hr2136-115,hr,Taxation,0
hr2304-115,hr,Education,0
hr1581-115,hr,"Science, technology, communications",0
hr5121-115,hr,Armed forces and national security,0
hr7212-115,hr,Health,0
hr2760-115,hr,Immigration,0
hr4497-115,hr,Congress,0
hr5545-115,hr,Health,0
hr5777-115,hr,Health,0
hr7020-115,hr,Government operations and politics,0
hr2552-115,hr,Taxation,0
hr3480-115,hr,Government operations and politics,0
hr4658-115,hr,Education,0
hr6933-115,hr,Social welfare,0
hr1118-115,hr,Law,0
hr805-115,hr,Public lands and natural resources,0
hr1924-115,hr,Crime and law enforcement,0
hr6759-115,hr,Public lands and natural resources,0
hr4832-115,hr,"Science, technology, communications",0
hr3825-115,hr,Labor and employment,0
hr3019-115,hr,Government operations and politics,0
hr5914-115,hr,Health,0
hr1588-115,hr,Armed forces and national security,0
hr5128-115,hr,Native Americans,0
hr2903-115,hr,"Science, technology, communications",0
hr7029-115,hr,Labor and employment,0
hr3489-115,hr,Government operations and politics,0
hr2769-115,hr,Health,0
hr56-115,hr,Education,0
hr6554-115,hr,Crime and law enforcement,0
hr3026-115,hr,Education,0
hr1771-115,hr,Armed forces and national security,0
hr4203-115,hr,Crime and law enforcement,0
hr650-115,hr,"Science, technology, communications",0
hr1543-115,hr,Commerce,0
hr462-115,hr,Government operations and politics,0
hr4031-115,hr,Armed forces and national security,0
hr6766-115,hr,Education,0
hr3214-115,hr,Government operations and politics,0
hr1127-115,hr,Education,0
hr5587-115,hr,Health,0
hr4455-115,hr,Emergency management,0
hr6302-115,hr,Animals,0
hr3670-115,hr,Taxation,0
hr6130-115,hr,Finance and financial sector,0
hr3442-115,hr,Government operations and politics,0
hr2590-115,hr,Education,0
hr1315-115,hr,Environmental protection,0
hr4667-115,hr,Emergency management,0
hr234-115,hr,Transportation and public works,0
hr69-115,hr,Government operations and politics,0
hr5573-115,hr,"Science, technology, communications",0
hr7224-115,hr,Finance and financial sector,0
hr3684-115,hr,Government operations and politics,0
hr2756-115,hr,Foreign trade and international finance,0
hr7016-115,hr,Crime and law enforcement,0
hr2564-115,hr,Armed forces and national security,0
hr5741-115,hr,Armed forces and national security,0
hr4693-115,hr,Animals,0
hr2100-115,hr,Armed forces and national security,0
hr1785-115,hr,International affairs,0
hr5325-115,hr,Economics and public finance,0
hr496-115,hr,Immigration,0
hr5117-115,hr,International affairs,0
hr6792-115,hr,Housing and community development,0
hr2332-115,hr,Agriculture and food,0
hr51-115,hr,Agriculture and food,0
hr4499-115,hr,Finance and financial sector,0
hr5779-115,hr,Health,0
hr2904-115,hr,Armed forces and national security,0
hr6598-115,hr,Immigration,0
hr2138-115,hr,Taxation,0
hr5913-115,hr,Taxation,0
hr1749-115,hr,Armed forces and national security,0
hr668-115,hr,Congress,0
hr3822-115,hr,Economics and public finance,0
hr4835-115,hr,Armed forces and national security,0
hr4009-115,hr,"Science, technology, communications",1
hr3648-115,hr,Taxation,0
hr802-115,hr,International affairs,0
hr1923-115,hr,International affairs,0
hr6108-115,hr,Public lands and natural resources,0
hr6934-115,hr,Agriculture and food,0
hr491-115,hr,Finance and financial sector,0
hr5110-115,hr,Education,0
hr6795-115,hr,"Science, technology, communications",0
hr2335-115,hr,Congress,0
hr2107-115,hr,Transportation and public works,0
hr1782-115,hr,Transportation and public works,0
hr5322-115,hr,Health,0
hr7011-115,hr,Armed forces and national security,0
hr2563-115,hr,Commerce,0
hr5746-115,hr,Education,0
hr4694-115,hr,Government operations and politics,0
hr5574-115,hr,Government operations and politics,0
hr7223-115,hr,Health,0
hr3683-115,hr,Taxation,0
hr2751-115,hr,Immigration,0
hr6137-115,hr,Education,0
hr3445-115,hr,International affairs,1
hr2597-115,hr,Immigration,0
hr1312-115,hr,Commerce,0
hr233-115,hr,Transportation and public works,0
hr4660-115,hr,Crime and law enforcement,0
hr1120-115,hr,Education,0
hr5580-115,hr,Health,0
hr4452-115,hr,Finance and financial sector,0
hr6305-115,hr,Taxation,0
hr3677-115,hr,Public lands and natural resources,0
hr1544-115,hr,Immigration,0
hr4036-115,hr,Crime and law enforcement,0
hr465-115,hr,Environmental protection,0
hr6761-115,hr,Law,0
hr3213-115,hr,Congress,0
hr6553-115,hr,Immigration,0
hr3021-115,hr,Labor and employment,0
hr1776-115,hr,Health,0
hr657-115,hr,Government operations and politics,1
hr4204-115,hr,Taxation,0
hr1527-115,hr,,0
hr4869-115,hr,Government operations and politics,0
hr5187-115,hr,Government operations and politics,0
hr4055-115,hr,Armed forces and national security,0
hr406-115,hr,Armed forces and national security,0
hr6702-115,hr,Crime and law enforcement,0
hr3270-115,hr,Public lands and natural resources,0
hr6530-115,hr,International affairs,0
hr3042-115,hr,Government operations and politics,0
hr2190-115,hr,Government operations and politics,0
hr1715-115,hr,Public lands and natural resources,0
hr634-115,hr,Government operations and politics,0
hr4267-115,hr,Finance and financial sector,0
hr6154-115,hr,Health,0
hr7086-115,hr,Taxation,0
hr6968-115,hr,Public lands and natural resources,0
hr3426-115,hr,Health,0
hr1371-115,hr,Armed forces and national security,0
hr250-115,hr,Law,0
hr4603-115,hr,International affairs,0
hr1143-115,hr,Health,0
hr4431-115,hr,Government operations and politics,0
hr6366-115,hr,Emergency management,0
hr3614-115,hr,Government operations and politics,0
hr7072-115,hr,Taxation,0
hr2500-115,hr,Crime and law enforcement,0
hr1385-115,hr,Government operations and politics,0
hr5725-115,hr,Health,0
hr5517-115,hr,"Science, technology, communications",0
hr6392-115,hr,Taxation,0
hr7240-115,hr,,0
hr2732-115,hr,International affairs,0
hr5173-115,hr,Immigration,0
hr3284-115,hr,Emergency management,0
hr2356-115,hr,Commerce,0
hr2958-115,hr,Energy,0
hr2164-115,hr,Health,0
hr5341-115,hr,Crime and law enforcement,0
hr4293-115,hr,Finance and financial sector,0
hr6359-115,hr,Government operations and politics,0
hr861-115,hr,Environmental protection,0
hr1940-115,hr,Housing and community development,0
hr6957-115,hr,Transportation and public works,0
hr3419-115,hr,Agriculture and food,0
hr4258-115,hr,Housing and community development,0
hr3841-115,hr,Agriculture and food,0
hr2993-115,hr,International affairs,0
hr1518-115,hr,Public lands and natural resources,0
hr5984-115,hr,Transportation and public works,0
hr4856-115,hr,Congress,0
hr439-115,hr,Taxation,0
hr2967-115,hr,Agriculture and food,0
hr3089-115,hr,Crime and law enforcement,0
hr2369-115,hr,Foreign trade and international finance,0
hr5970-115,hr,Finance and financial sector,0
hr32-115,hr,Taxation,0
hr895-115,hr,Taxation,0
hr1188-115,hr,Crime and law enforcement,0
hr5528-115,hr,Armed forces and national security,0
hr2163-115,hr,Health,0
hr5346-115,hr,"Science, technology, communications",0
hr4294-115,hr,Finance and financial sector,0
hr5948-115,hr,Transportation and public works,0
hr5174-115,hr,Energy,0
hr3283-115,hr,Crime and law enforcement,0
hr2351-115,hr,Health,0
hr5510-115,hr,Immigration,0
hr6395-115,hr,Foreign trade and international finance,0
hr7247-115,hr,Health,0
hr2735-115,hr,Foreign trade and international finance,0
hr7075-115,hr,Native Americans,0
hr2507-115,hr,Energy,0
hr1382-115,hr,Public lands and natural resources,0
hr5722-115,hr,Health,0
hr859-115,hr,Government operations and politics,0
hr1144-115,hr,Taxation,0
hr4436-115,hr,Public lands and natural resources,0
hr1978-115,hr,Crime and law enforcement,0
hr6361-115,hr,Immigration,0
hr3613-115,hr,Crime and law enforcement,0
hr6153-115,hr,Government operations and politics,0
hr7081-115,hr,Public lands and natural resources,0
hr3421-115,hr,Transportation and public works,0
hr1376-115,hr,Government operations and politics,0
hr4604-115,hr,Labor and employment,0
hr257-115,hr,International affairs,0
hr3879-115,hr,Government operations and politics,0
hr6537-115,hr,Education,0
hr3045-115,hr,Public lands and natural resources,0
hr2197-115,hr,Energy,0
hr1712-115,hr,Armed forces and national security,0
hr4260-115,hr,Taxation,0
hr633-115,hr,Health,0
hr1520-115,hr,Immigration,0
hr5180-115,hr,Labor and employment,0
hr401-115,hr,Public lands and natural resources,0
hr4052-115,hr,Crime and law enforcement,0
hr6705-115,hr,Environmental protection,0
hr3277-115,hr,Taxation,0
hr6198-115,hr,Emergency management,0
hr2538-115,hr,Labor and employment,0
hr7278-115,hr,Labor and employment,0
hr35-115,hr,Taxation,0
hr892-115,hr,Social welfare,0
hr5977-115,hr,Health,0
hr4099-115,hr,Armed forces and national security,0
hr5379-115,hr,Agriculture and food,0
hr2960-115,hr,Education,0
hr3248-115,hr,Environmental protection,0
hr5983-115,hr,Crime and law enforcement,0
hr4851-115,hr,Public lands and natural resources,1
hr3846-115,hr,Energy,0
hr6508-115,hr,Health,0
hr2994-115,hr,Armed forces and national security,0
hr1349-115,hr,Public lands and natural resources,0
hr268-115,hr,Transportation and public works,0
hr6950-115,hr,Public lands and natural resources,0
hr866-115,hr,Crime and law enforcement,0
hr4409-115,hr,Water resources development,0
hr1947-115,hr,Taxation,0
hr7271-115,hr,Crime and law enforcement,0
hr2703-115,hr,Armed forces and national security,0
hr1186-115,hr,Commerce,0
hr5526-115,hr,Crime and law enforcement,0
hr5714-115,hr,Health,0
hr295-115,hr,Armed forces and national security,0
hr7043-115,hr,Transportation and public works,0
hr6191-115,hr,,0
hr2531-115,hr,Health,0
hr5370-115,hr,Taxation,0
hr2969-115,hr,Government operations and politics,0
hr2155-115,hr,Education,0
hr3087-115,hr,Immigration,0
hr2367-115,hr,Armed forces and national security,0
hr4090-115,hr,Crime and law enforcement,0
hr5142-115,hr,Congress,0
hr1724-115,hr,Crime and law enforcement,0
hr4256-115,hr,Health,0
hr605-115,hr,Taxation,0
hr5384-115,hr,Education,0
hr6501-115,hr,Government operations and politics,0
hr3073-115,hr,Government operations and politics,0
hr6733-115,hr,Health,0
hr2393-115,hr,Commerce,0
hr3241-115,hr,Energy,0
hr4858-115,hr,"Science, technology, communications",0
hr1516-115,hr,Labor and employment,0
hr437-115,hr,Emergency management,0
hr4064-115,hr,Crime and law enforcement,0
hr7285-115,hr,International affairs,0
hr6357-115,hr,Health,0
hr3625-115,hr,Finance and financial sector,0
hr1172-115,hr,Foreign trade and international finance,0
hr4400-115,hr,Agriculture and food,0
hr1340-115,hr,"Science, technology, communications",0
hr4632-115,hr,Education,0
hr261-115,hr,Health,0
hr6165-115,hr,Armed forces and national security,0
hr3417-115,hr,Health,0
hr6959-115,hr,Armed forces and national security,0
hr4893-115,hr,Crime and law enforcement,0
hr5941-115,hr,Crime and law enforcement,0
hr2358-115,hr,Armed forces and national security,0
hr2956-115,hr,"Civil rights and liberties, minority issues",0
hr3884-115,hr,Crime and law enforcement,0
hr6992-115,hr,Emergency management,0
hr5519-115,hr,Public lands and natural resources,0
hr1985-115,hr,Law,0
hr7088-115,hr,Agriculture and food,0
hr3428-115,hr,Government operations and politics,0
hr6966-115,hr,Public lands and natural resources,0
hr850-115,hr,Economics and public finance,0
hr1971-115,hr,Environmental protection,0
hr6368-115,hr,Commerce,0
hr4867-115,hr,Families,0
hr1529-115,hr,Economics and public finance,0
hr408-115,hr,Taxation,0
hr5189-115,hr,,0
hr3870-115,hr,Education,0
hr4269-115,hr,Taxation,0
hr1347-115,hr,Emergency management,0
hr266-115,hr,Crime and law enforcement,0
hr4635-115,hr,Armed forces and national security,0
hr6162-115,hr,Finance and financial sector,0
hr3410-115,hr,Crime and law enforcement,0
hr7282-115,hr,Public lands and natural resources,0
hr6350-115,hr,Crime and law enforcement,0
hr3622-115,hr,Government operations and politics,0
hr1175-115,hr,Taxation,0
hr868-115,hr,"Arts, culture, religion",0
hr1949-115,hr,Education,0
hr4407-115,hr,Government operations and politics,1
hr6734-115,hr,Armed forces and national security,0
hr2394-115,hr,Taxation,0
